Glacier-specific geodetic mass balance (m w.e. a-1) 2000_2020/ according to Hugonnet et al. (2021)
ID=1: measured, ID=2: regional mean
RGI-ID  Area  lat  lon  B  errB  ID
RGI60-02.07255     6.56405   52.403826 -119.555990   -0.768    0.144  1
RGI60-02.02352     6.56124   50.794138 -124.377174   -0.240    0.130  1
RGI60-02.07065     6.54569   52.296314 -117.994798   -0.492    0.151  1
RGI60-02.09099     6.53479   53.155866 -120.530955   -0.987    0.180  1
RGI60-02.10356     6.53283   53.927555 -120.481865   -0.901    0.181  1
RGI60-02.00336     6.53252   49.915060 -122.953274   -0.155    0.119  1
RGI60-02.06607     6.51406   52.141537 -118.858877   -1.413    0.186  1
RGI60-02.04397     6.51017   51.063213 -125.395898   -0.286    0.117  1
RGI60-02.04389     6.50009   51.052984 -125.342372   -0.349    0.121  1
RGI60-02.07780     6.48961   52.670485 -119.580934   -0.251    0.131  1
RGI60-02.02684     6.47899   50.955898 -124.086843   -0.651    0.142  1
RGI60-02.10950     6.47316   54.562692 -121.386115   -0.649    0.141  1
RGI60-02.01364     6.47161   50.506749 -116.681467   -0.168    0.133  1
RGI60-02.00511     6.44760   50.056215 -123.439652   -0.668    0.135  1
RGI60-02.02491     6.42312   50.908522 -123.625715   -0.805    0.134  1
RGI60-02.12424     6.38357   57.843921 -124.783232   -0.636    0.155  1
RGI60-02.01047     6.36855   50.391618 -123.787964   -0.171    0.127  1
RGI60-02.08282     6.34662   52.786408 -119.746338   -0.331    0.140  1
RGI60-02.05522     6.31068   51.705093 -116.789113   -0.183    0.137  1
RGI60-02.04433     6.29266   51.082000 -125.233247   -0.585    0.140  1
RGI60-02.17741     6.28613   48.770979 -121.792478   -0.317    0.127  1
RGI60-02.07299     6.27164   52.386280 -118.025401   -0.185    0.142  1
RGI60-02.06932     6.25843   52.233884 -117.427210   -0.398    0.160  1
RGI60-02.02384     6.24226   50.743925 -124.567056   -0.511    0.147  1
RGI60-02.03579     6.24225   50.964089 -124.508140   -0.418    0.135  1
RGI60-02.02433     6.24100   50.739940 -123.937719   -0.458    0.127  1
RGI60-02.06464     6.22694   51.878597 -125.907875   -0.551    0.137  1
RGI60-02.14293     6.18922   46.881621 -121.810184   -0.433    0.122  1
RGI60-02.03964     6.18747   51.252891 -124.558652   -0.257    0.130  1
RGI60-02.10360     6.17852   53.926202 -120.367457   -0.433    0.168  1
RGI60-02.01117     6.15657   50.420758 -116.537248    0.079    0.170  1
RGI60-02.02107     6.14879   50.791818 -123.413861   -0.698    0.136  1
RGI60-02.05087     6.14772   51.664874 -117.823457   -0.478    0.148  1
RGI60-02.01300     6.12989   50.417833 -123.382177   -0.714    0.135  1
RGI60-02.04811     6.08447   51.560158 -117.896363   -0.871    0.158  1
RGI60-02.02633     6.07475   50.787342 -123.674152   -0.423    0.128  1
RGI60-02.08286     6.05549   52.732468 -119.683823   -0.298    0.140  1
RGI60-02.01333     6.05043   50.286925 -123.480194   -0.329    0.121  1
RGI60-02.10867     6.04465   54.456152 -127.745122   -0.537    0.129  1
RGI60-02.01999     6.03259   50.745699 -116.803206   -0.683    0.154  1
RGI60-02.04504     6.03241   51.450219 -124.851364   -0.251    0.122  1
RGI60-02.00175     6.03167   49.761426 -122.638887   -0.432    0.128  1
RGI60-02.07844     6.02351   52.685987 -119.634678   -0.524    0.137  1
RGI60-02.03664     6.02113   51.228695 -124.397014   -0.829    0.165  1
RGI60-02.10758     6.01570   54.422031 -121.136712   -0.632    0.134  1
RGI60-02.03883     6.01242   51.302780 -125.085532   -0.321    0.123  1
RGI60-02.08298     6.00605   52.793984 -119.525526   -0.551    0.141  1
RGI60-02.06869     5.97458   52.228134 -117.841268   -0.816    0.161  1
RGI60-02.06466     5.96938   51.823376 -125.935204   -0.247    0.124  1
RGI60-02.03587     5.95764   51.217364 -124.644118   -0.555    0.140  1
RGI60-02.03688     5.93922   51.237024 -117.433507   -0.573    0.141  1
RGI60-02.03963     5.93454   51.318723 -124.677237   -0.675    0.144  1
RGI60-02.00280     5.93372   49.886162 -122.573325   -1.463    0.194  1
RGI60-02.05147     5.93351   51.380110 -126.161883   -0.462    0.129  1
RGI60-02.06598     5.92554   52.135494 -126.312860   -0.261    0.128  1
RGI60-02.04479     5.91122   51.469659 -125.302848   -0.647    0.134  1
RGI60-02.02417     5.90340   50.727891 -124.125988   -0.582    0.147  1
RGI60-02.01757     5.89702   50.649666 -124.624933   -0.200    0.135  1
RGI60-02.02608     5.89083   50.866146 -123.889607   -0.528    0.134  1
RGI60-02.02322     5.88489   50.872593 -124.065575   -0.648    0.145  1
